,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,STCODE,FIPSCODE,CTYNAME,FIPSCLASS
0,55290,26916,28374,21114,21920,4885,5432,119,151,246,382,36,19,516,470,778,725,1,1,Autauga County,H1
1,199713,97423,102290,84965,88995,9342,9801,726,753,770,997,63,57,1557,1687,4771,4201,1,3,Baldwin County,H1
2,26815,14282,12533,7180,6281,6780,6001,90,64,63,62,29,20,140,105,693,507,1,5,Barbour County,H1
3,22549,12193,10356,8893,8313,3115,1857,44,48,17,28,25,4,99,106,320,195,1,7,Bibb County,H1
4,57658,28499,29159,27336,27971,565,467,183,182,67,99,40,24,308,416,2770,2280,1,9,Blount County,H1
5,10829,5924,4905,1807,1112,3955,3648,39,47,14,13,41,33,68,52,444,358,1,11,Bullock County,H1
6,20276,9405,10871,5201,5718,3987,4925,37,33,95,106,5,4,80,85,131,107,1,13,Butler County,H1
7,115993,55891,60102,42795,45078,11318,13122,319,274,432,584,62,49,965,995,2217,1883,1,15,Calhoun County,H1
8,34052,16274,17778,9620,10214,6252,7203,44,36,163,126,14,5,181,194,393,254,1,17,Chambers County,H1
9,25995,12927,13068,12007,12157,612,593,82,59,23,41,4,3,199,215,194,200,1,19,Cherokee County,H1
10,43921,21584,22337,18800,19463,2270,2375,122,94,76,103,53,25,263,277,1919,1467,1,21,Chilton County,H1
11,13289,6318,6971,3688,3839,2570,3070,14,13,10,14,0,1,36,34,48,53,1,23,Choctaw County,H1
12,24847,11716,13131,6503,6940,5033,5963,41,58,51,57,4,0,84,113,164,172,1,25,Clarke County,H1
13,13538,6688,6850,5549,5652,957,1008,35,47,16,21,0,0,131,122,254,193,1,27,Clay County,H1
14,15072,7461,7611,7065,7180,260,289,30,32,7,21,9,2,90,87,224,146,1,29,Cleburne County,H1
