,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,STCODE,FIPSCODE,CTYNAME,FIPSCLASS
0,49105,23839,25266,19315,20027,4053,4663,106,112,107,192,6,9,252,263,482,440,1,1,Autauga County,H1
1,168516,82452,86064,72682,75621,8132,8713,449,421,364,491,17,25,808,793,2340,2148,1,3,Baldwin County,H1
2,29556,15579,13977,8204,7113,7106,6673,93,50,45,47,3,6,128,88,741,388,1,5,Barbour County,H1
3,21285,11062,10223,8221,8076,2735,2051,32,28,6,11,2,0,66,57,188,106,1,7,Bibb County,H1
4,55978,27868,28110,26931,27112,507,540,174,123,44,70,4,8,208,257,2205,1676,1,9,Blount County,H1
5,10739,5796,4943,1845,1212,3867,3662,38,7,13,15,1,1,32,46,533,243,1,11,Bullock County,H1
6,20231,9547,10684,5594,6050,3857,4516,21,24,31,42,0,0,44,52,97,90,1,13,Butler County,H1
7,112453,53839,58614,42531,45242,10160,12002,244,216,284,519,39,42,581,593,1370,1264,1,15,Calhoun County,H1
8,34822,16491,18331,10261,10929,6051,7201,33,24,37,40,0,0,109,137,207,231,1,17,Chambers County,H1
9,24531,11945,12586,11140,11720,630,680,38,37,27,45,0,0,110,104,140,145,1,19,Cherokee County,H1
10,41821,20731,21090,18251,18398,2221,2423,59,53,52,62,4,2,144,152,1124,680,1,21,Chilton County,H1
11,14389,6751,7638,3874,4104,2817,3481,15,10,9,4,0,0,36,39,58,62,1,23,Choctaw County,H1
12,26729,12712,14017,7190,7633,5381,6246,34,31,44,23,0,1,63,83,105,121,1,25,Clarke County,H1
13,13777,6771,7006,5656,5797,1029,1102,24,21,5,9,2,1,55,76,218,134,1,27,Clay County,H1
14,14433,7254,7179,6891,6764,282,311,22,25,6,16,0,1,53,62,205,95,1,29,Cleburne County,H1
15,45639,22183,23456,17473,18170,3937,4317,209,208,152,343,31,21,381,397,892,807,1,31,Coffee County,H1
16,54462,26109,28353,21580,23013,4060,4866,115,107,88,87,9,10,257,270,481,384,1,33,Colbert County,H1
17,13309,6294,7015,3601,3724,2619,3209,15,20,6,11,4,3,49,48,58,74,1,35,Conecuh County,H1
18,10857,5419,5438,3726,3601,1627,1767,18,22,0,6,0,1,48,41,124,46,1,37,Coosa County,H1
19,36717,17593,19124,15177,16256,2134,2554,91,103,45,68,4,1,142,142,197,202,1,39,Covington County,H1
20,13688,6506,7182,4866,5165,1547,1920,32,28,7,9,1,0,53,60,66,53,1,41,Crenshaw County,H1
21,79871,39601,40270,38365,39114,603,508,198,157,63,108,12,18,360,365,1735,1159,1,43,Cullman County,H1
22,48038,23492,24546,17970,18114,4669,5405,157,128,162,410,42,40,492,449,897,956,1,45,Dale County,H1
23,43050,19648,23402,6725,7292,12692,15863,32,28,85,92,3,2,111,125,167,175,1,47,Dallas County,H1
24,67447,33180,34267,31812,32704,564,707,294,259,78,130,23,19,409,448,3662,2998,1,49,DeKalb County,H1
25,75511,38248,37263,28650,28924,8852,7587,155,155,150,200,20,8,421,389,636,629,1,51,Elmore County,H1
26,37572,19152,18420,12002,11938,6298,5552,572,605,59,60,5,5,216,260,246,264,1,53,Escambia County,H1
27,102854,49356,53498,41524,44209,6898,8357,169,183,275,244,29,17,461,488,1592,1224,1,55,Etowah County,H1
28,17758,8628,9130,7562,7844,986,1170,22,18,9,41,0,2,49,55,100,86,1,57,Fayette County,H1
29,30791,15343,15448,14447,14518,660,669,56,57,37,47,26,29,117,128,2385,1410,1,59,Franklin County,H1
30,25769,12609,13160,11099,11445,1279,1493,103,96,11,26,5,2,112,98,352,243,1,61,Geneva County,H1
31,9119,4263,4856,937,932,3296,3894,7,5,6,8,0,0,17,17,30,33,1,63,Greene County,H1
32,17901,9051,8850,3785,3510,5197,5253,18,14,10,18,1,3,40,52,110,96,1,65,Hale County,H1
33,16555,7908,8647,5510,5722,2318,2834,19,16,4,7,3,1,54,67,197,175,1,67,Henry County,H1
34,95511,45476,50035,33386,35789,11144,13135,174,178,321,439,8,7,443,487,889,861,1,69,Houston County,H1
35,52998,25821,27177,23798,25008,948,1008,465,488,66,80,7,5,537,588,472,424,1,71,Jackson County,H1
36,661447,313091,348356,182109,194075,122871,145978,998,1012,4190,4292,205,198,2718,2801,10719,8200,1,73,Jefferson County,H1
37,14456,7017,7439,6202,6451,764,917,10,13,2,8,0,0,39,50,170,106,1,75,Lamar County,H1
38,87992,41925,46067,37231,40490,4023,4873,112,136,180,195,11,5,368,368,637,654,1,77,Lauderdale County,H1
39,33875,16609,17266,13216,13532,1921,2212,866,888,30,39,3,3,573,592,272,278,1,79,Lawrence County,H1
40,128217,63261,64956,47321,46880,13951,16073,197,157,1205,1225,16,9,571,612,1224,1152,1,81,Lee County,H1
41,71795,36370,35425,30498,30408,5165,4293,173,169,178,200,13,7,343,348,1553,1197,1,83,Limestone County,H1
42,12711,5940,6771,1803,1816,4089,4891,10,7,3,13,0,3,35,41,66,45,1,85,Lowndes County,H1
43,22544,10380,12164,1802,1701,8354,10275,20,22,129,60,2,2,73,104,102,120,1,87,Macon County,H1
44,307509,150151,157358,108685,110968,34593,38816,1080,1084,3111,3697,86,82,2596,2711,4304,3778,1,89,Madison County,H1
45,21335,10068,11267,5056,5122,4928,6043,11,8,18,24,1,2,54,68,228,178,1,91,Marengo County,H1
46,29585,14685,14900,13760,14203,710,500,57,45,32,33,7,4,119,115,282,241,1,93,Marion County,H1
