,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,STCODE,FIPSCODE,CTYNAME,FIPSCLASS
0,44434,21591,22843,17708,18253,3525,4133,97,106,79,156,5,9,177,186,361,304,1,1,Autauga County,H1
1,144988,71100,73888,62482,64807,7364,7710,418,400,204,336,16,22,616,613,1509,1278,1,3,Baldwin County,H1
2,29223,15101,14122,8050,7248,6809,6708,88,43,42,45,4,5,108,73,395,171,1,5,Barbour County,H1
3,20942,10795,10147,8018,8011,2680,2054,31,26,6,11,2,0,58,45,132,86,1,7,Bibb County,H1
4,51999,25974,26025,25246,25224,367,388,154,121,31,57,4,8,172,227,1731,1203,1,9,Blount County,H1
5,11381,5994,5387,1740,1253,4178,4071,38,7,9,13,1,1,28,42,267,128,1,11,Bullock County,H1
6,21036,9847,11189,5875,6412,3895,4690,21,24,22,22,0,0,34,41,82,74,1,13,Butler County,H1
7,111019,53094,57925,42513,45378,9589,11391,239,214,251,422,39,40,463,480,1035,863,1,15,Calhoun County,H1
8,36281,17181,19100,10720,11447,6313,7484,31,23,34,39,0,0,83,107,165,161,1,17,Chambers County,H1
9,24078,11827,12251,11053,11420,626,681,38,37,17,24,0,0,93,89,111,103,1,19,Cherokee County,H1
10,40030,19821,20209,17515,17707,2093,2280,58,53,37,51,4,2,114,116,775,432,1,21,Chilton County,H1
11,15652,7360,8292,4157,4456,3154,3790,15,10,4,4,0,0,30,32,49,60,1,23,Choctaw County,H1
12,27634,13087,14547,7490,8002,5483,6422,34,29,27,22,0,1,53,71,76,106,1,25,Clarke County,H1
13,14257,6966,7291,5826,6019,1067,1179,24,21,5,9,2,1,42,62,170,96,1,27,Clay County,H1
14,14196,7085,7111,6752,6736,262,285,22,21,6,16,0,1,43,52,133,77,1,29,Cleburne County,H1
15,43581,21293,22288,16747,17272,3873,4181,208,199,131,301,29,19,305,316,666,569,1,31,Coffee County,H1
16,54841,26259,28582,21700,23162,4167,5005,106,100,66,75,7,10,213,230,330,291,1,33,Colbert County,H1
17,13894,6552,7342,3740,3909,2748,3358,13,20,6,10,4,3,41,42,51,54,1,35,Conecuh County,H1
