,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,STCODE,FIPSCODE,CTYNAME,FIPSCLASS
0,49834,24219,25615,19577,20259,4148,4757,108,116,112,198,6,9,268,276,537,503,1,1,Autauga County,H1
1,172815,84625,88190,74525,77484,8381,8896,451,426,402,528,18,26,848,830,2598,2442,1,3,Baldwin County,H1
2,29736,15708,14028,8312,7133,7118,6697,93,50,45,48,3,6,137,94,857,442,1,5,Barbour County,H1
3,21485,11162,10323,8331,8171,2721,2052,32,28,6,11,2,0,70,61,188,107,1,7,Bibb County,H1
4,56866,28320,28546,27335,27499,543,580,177,124,45,71,4,8,216,264,2315,1787,1,9,Blount County,H1
5,10966,6013,4953,1930,1222,3996,3662,38,7,14,15,1,1,34,46,595,265,1,11,Bullock County,H1
6,20243,9538,10705,5566,6035,3871,4542,21,24,34,48,0,0,46,56,98,94,1,13,Butler County,H1
7,112808,53993,58815,42630,45327,10185,12068,244,218,289,541,40,42,605,619,1392,1317,1,15,Calhoun County,H1
8,34731,16444,18287,10236,10907,6025,7169,33,25,39,40,0,0,111,146,215,245,1,17,Chambers County,H1
9,24474,11923,12551,11100,11666,643,691,38,37,29,49,0,0,113,108,143,148,1,19,Cherokee County,H1
10,42362,21026,21336,18494,18604,2261,2453,62,54,53,64,4,2,152,159,1227,748,1,21,Chilton County,H1
11,14178,6655,7523,3841,4040,2751,3429,15,10,10,4,0,0,38,40,60,63,1,23,Choctaw County,H1
12,26416,12576,13840,7100,7526,5330,6172,34,33,45,23,0,1,67,85,110,123,1,25,Clarke County,H1
13,13772,6793,6979,5670,5786,1032,1082,24,21,5,9,2,1,60,80,229,141,1,27,Clay County,H1
14,14692,7396,7296,7013,6860,298,331,23,25,6,16,0,1,56,63,221,98,1,29,Cleburne County,H1
