,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,STCODE,FIPSCODE,CTYNAME,FIPSCLASS
0,55038,26703,28335,21071,21974,4775,5374,118,145,225,367,32,17,482,458,723,701,1,1,Autauga County,H1
1,195126,95257,99869,83216,87032,9090,9540,717,720,725,951,63,57,1446,1569,4671,4052,1,3,Baldwin County,H1
2,26973,14425,12548,7250,6288,6864,6006,80,62,63,74,29,20,139,98,710,528,1,5,Barbour County,H1
3,22512,12152,10360,8902,8287,3066,1888,44,50,18,24,25,4,97,107,318,181,1,7,Bibb County,H1
4,57734,28526,29208,27386,28044,558,493,178,173,59,97,38,22,307,379,2741,2228,1,9,Blount County,H1
5,10628,5782,4846,1780,1094,3853,3612,31,45,15,15,40,32,63,48,454,349,1,11,Bullock County,H1
6,20261,9438,10823,5253,5755,3962,4856,37,36,101,100,4,4,81,72,142,105,1,13,Butler County,H1
7,116575,56281,60294,43273,45382,11291,13055,314,268,411,570,61,48,931,971,2218,1840,1,15,Calhoun County,H1
8,34153,16362,17791,9763,10270,6211,7174,41,38,146,105,15,6,186,198,397,261,1,17,Chambers County,H1
9,26084,12954,13130,12051,12254,605,573,79,61,22,38,4,3,193,201,203,205,1,19,Cherokee County,H1
10,43795,21561,22234,18875,19463,2194,2298,117,88,74,104,52,24,249,257,1887,1411,1,21,Chilton County,H1
11,13378,6382,6996,3693,3837,2629,3097,15,12,10,14,0,0,35,36,46,45,1,23,Choctaw County,H1
12,25116,11864,13252,6587,7019,5099,6013,43,56,44,51,4,0,87,113,161,166,1,25,Clarke County,H1
13,13467,6615,6852,5492,5676,951,993,35,46,14,17,0,0,123,120,249,183,1,27,Clay County,H1
14,15028,7439,7589,7048,7172,266,278,28,30,5,21,9,1,83,87,208,132,1,29,Cleburne County,H1
15,50755,25155,25600,19427,19510,4337,4600,354,325,258,501,136,58,643,606,1755,1477,1,31,Coffee County,H1
16,54471,26222,28249,21310,22727,4156,4764,170,155,123,147,12,13,451,443,754,584,1,33,Colbert County,H1
17,12875,6170,6705,3333,3384,2718,3197,27,26,9,14,2,2,81,82,122,97,1,35,Conecuh County,H1
18,11059,5590,5469,3693,3594,1791,1745,42,30,4,15,7,11,53,74,128,108,1,37,Coosa County,H1
19,37830,18288,19542,15544,16495,2276,2541,120,114,72,98,0,1,276,293,301,287,1,39,Covington County,H1
20,13932,6773,7159,4940,5098,1548,1796,29,41,125,110,7,6,124,108,133,101,1,41,Crenshaw County,H1
21,80756,39962,40794,38408,39359,626,477,249,218,177,239,14,20,488,481,1863,1598,1,43,Cullman County,H1
22,49833,24690,25143,19010,18546,4566,5223,197,183,224,421,30,29,663,741,1494,1382,1,45,Dale County,H1
23,42021,19481,22540,5942,6284,13246,15978,51,37,96,70,11,7,135,164,222,163,1,47,Dallas County,H1
24,70869,34954,35915,32371,33288,719,717,717,756,120,140,276,233,751,781,5118,4792,1,49,DeKalb County,H1
25,80883,39278,41605,29795,31853,8441,8531,177,156,242,339,41,47,582,679,1093,1132,1,51,Elmore County,H1
26,37857,19473,18384,11897,11740,6549,5625,645,658,38,60,14,6,330,295,457,331,1,53,Escambia County,H1
27,103852,50266,53586,41131,43361,7500,8624,317,257,421,402,155,135,742,807,2048,1689,1,55,Etowah County,H1
28,16857,8353,8504,7252,7355,955,997,39,34,14,28,0,1,93,89,141,116,1,57,Fayette County,H1
