,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE
114,Autauga County,46933,22765,24168,18543,19197,3799,4440,102,111,93,173,5,9,223,238,422,382
342,Baldwin County,156573,76671,79902,67501,70134,7722,8225,426,407,300,417,16,23,706,696,1861,1656
570,Barbour County,29458,15500,13958,8149,7079,7090,6697,92,48,44,47,4,6,121,81,575,282
798,Bibb County,21208,10981,10227,8120,8053,2759,2082,32,28,6,11,2,0,62,53,164,100
1026,Blount County,54469,27175,27294,26312,26366,465,496,165,121,38,64,4,8,191,239,2001,1477
1254,Bullock County,11038,5904,5134,1805,1222,4020,3845,38,7,10,15,1,1,30,44,413,185
1482,Butler County,20476,9661,10815,5719,6167,3856,4545,21,24,26,33,0,0,39,46,91,84
1710,Calhoun County,111615,53441,58174,42473,45191,9886,11707,244,217,269,470,39,40,530,549,1204,1079
1938,Chambers County,35387,16771,18616,10403,11100,6206,7333,32,23,35,38,0,0,95,122,183,199
2166,Cherokee County,24291,11877,12414,11073,11550,637,693,38,37,23,37,0,0,106,97,131,127
2394,Chilton County,41170,20380,20790,17962,18150,2177,2391,59,53,50,59,4,2,128,135,988,573
2622,Choctaw County,14894,6992,7902,3994,4255,2942,3597,15,10,7,4,0,0,34,36,54,61
2850,Clarke County,26944,12789,14155,7294,7750,5365,6275,34,30,35,22,0,1,61,77,92,115
3078,Clay County,13939,6834,7105,5713,5877,1041,1128,24,21,5,9,2,1,49,69,192,115
3306,Cleburne County,14264,7149,7115,6789,6700,284,315,22,25,6,16,0,1,48,58,176,92
3534,Coffee County,44712,21693,23019,17091,17811,3850,4273,209,205,156,336,31,20,356,374,785,709
3762,Colbert County,54427,26086,28341,21543,22983,4098,4911,113,105,82,82,9,10,241,250,416,345
3990,Conecuh County,13238,6247,6991,3594,3732,2584,3179,13,20,6,11,4,3,46,46,52,64
4218,Coosa County,11156,5574,5582,3775,3639,1736,1875,18,21,0,6,0,1,45,40,120,45
4446,Covington County,36322,17383,18939,15049,16146,2077,2505,89,103,40,56,4,1,124,128,155,173
4674,Crenshaw County,13602,6457,7145,4882,5203,1488,1850,32,27,6,9,1,0,48,56,62,48
4902,Cullman County,78711,38935,39776,37806,38702,532,454,193,154,56,102,11,18,337,346,1458,939
5130,Dale County,48691,23849,24842,18344,18420,4659,5409,160,132,167,404,40,39,479,438,903,968
5358,Dallas County,43927,20044,23883,7114,7733,12707,15913,31,27,88,89,3,2,101,119,159,168
5586,DeKalb County,66574,32697,33877,31360,32380,557,678,294,257,70,112,22,17,394,433,3169,2497
5814,Elmore County,71276,36168,35108,27232,27449,8269,6975,153,153,119,174,18,8,377,349,543,503
