,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,STCODE,FIPSCODE,CTYNAME,FIPSCLASS
0,47870,23237,24633,18887,19563,3896,4511,103,111,106,186,5,9,240,253,478,436,1,1,Autauga County,H1
1,162564,79589,82975,70101,72897,7932,8439,437,411,341,461,17,24,761,743,2082,1879,1,3,Baldwin County,H1
2,29452,15512,13940,8165,7100,7084,6654,92,49,44,47,3,6,124,84,649,327,1,5,Barbour County,H1
3,21375,11088,10287,8208,8100,2776,2094,32,28,6,11,2,0,64,54,179,106,1,7,Bibb County,H1
4,55035,27444,27591,26575,26657,460,493,170,122,40,67,4,8,195,244,2111,1581,1,9,Blount County,H1
5,10975,5939,5036,1867,1230,3989,3738,38,7,13,15,1,1,31,45,475,211,1,11,Bullock County,H1
6,20338,9601,10737,5692,6131,3819,4496,21,24,28,37,0,0,41,49,95,87,1,13,Butler County,H1
7,112081,53655,58426,42442,45181,10079,11911,246,219,286,498,39,41,563,576,1277,1159,1,15,Calhoun County,H1
8,35173,16664,18509,10351,11042,6145,7274,33,24,35,40,0,0,100,129,194,215,1,17,Chambers County,H1
9,24268,11832,12436,11034,11583,627,673,38,37,26,41,0,0,107,102,138,138,1,19,Cherokee County,H1
10,41510,20567,20943,18127,18295,2194,2393,59,53,51,61,4,2,132,139,1052,623,1,21,Chilton County,H1
11,14507,6800,7707,3918,4160,2823,3496,15,10,8,4,0,0,36,37,56,61,1,23,Choctaw County,H1
12,26740,12699,14041,7218,7678,5346,6229,34,30,39,23,0,1,62,80,94,114,1,25,Clarke County,H1
13,13847,6809,7038,5689,5813,1040,1123,24,21,5,9,2,1,49,71,203,125,1,27,Clay County,H1
14,14276,7160,7116,6804,6705,278,309,22,25,6,16,0,1,50,60,188,93,1,29,Cleburne County,H1
15,45159,21908,23251,17279,18006,3864,4288,210,207,158,345,31,21,366,384,849,764,1,31,Coffee County,H1
16,54399,26080,28319,21536,22961,4086,4896,114,106,84,86,9,10,251,260,442,358,1,33,Colbert County,H1
17,13176,6233,6943,3557,3682,2603,3180,15,20,6,11,4,3,48,47,58,70,1,35,Conecuh County,H1
18,10964,5484,5480,3743,3603,1677,1809,18,21,0,6,0,1,46,40,123,46,1,37,Coosa County,H1
19,36594,17527,19067,15149,16241,2106,2524,90,103,43,62,4,1,135,136,183,192,1,39,Covington County,H1
20,13541,6433,7108,4829,5144,1513,1871,32,27,7,9,1,0,51,57,60,46,1,41,Crenshaw County,H1
21,79382,39309,40073,38134,38966,570,480,195,155,57,101,11,18,342,353,1580,1031,1,43,Cullman County,H1
22,48319,23639,24680,18101,18233,4701,5459,155,123,161,396,41,39,480,430,840,918,1,45,Dale County,H1
23,43358,19819,23539,6908,7476,12683,15823,31,27,89,92,3,2,105,119,166,171,1,47,Dallas County,H1
24,66920,32888,34032,31530,32487,568,706,293,257,74,121,22,18,401,443,3410,2748,1,49,DeKalb County,H1
25,73241,37137,36104,27985,28232,8435,7149,155,154,137,186,19,8,406,375,601,574,1,51,Elmore County,H1
26,37642,19167,18475,12017,11998,6312,5558,568,601,57,59,5,5,208,254,235,249,1,53,Escambia County,H1
27,102602,49237,53365,41501,44203,6826,8251,167,183,267,233,29,18,447,477,1487,1163,1,55,Etowah County,H1
28,18012,8746,9266,7679,7975,993,1179,22,18,7,38,0,2,45,54,98,86,1,57,Fayette County,H1
29,30673,15225,15448,14360,14528,637,669,56,57,35,43,26,29,111,122,2157,1278,1,59,Franklin County,H1
30,25584,12499,13085,11009,11382,1268,1485,103,96,11,25,5,2,103,95,334,230,1,61,Geneva County,H1
31,9472,4433,5039,955,952,3449,4059,7,5,6,8,0,0,16,15,30,32,1,63,Greene County,H1
32,17921,9061,8860,3773,3494,5220,5279,18,14,11,17,1,3,38,53,99,89,1,65,Hale County,H1
33,16424,7836,8588,5425,5648,2334,2851,19,16,4,7,3,1,51,65,187,172,1,67,Henry County,H1
34,93614,44578,49036,32738,35115,10925,12861,173,175,311,412,8,7,423,466,854,820,1,69,Houston County,H1
35,52923,25757,27166,23718,24979,973,1039,463,485,66,78,7,5,530,580,437,387,1,71,Jackson County,H1
36,659715,312160,347555,182549,194913,121929,144807,934,933,3993,4054,178,181,2577,2667,9866,7398,1,73,Jefferson County,H1
37,14707,7139,7568,6303,6560,787,942,10,13,2,7,0,0,37,46,170,106,1,75,Lamar County,H1
38,87437,41656,45781,37052,40297,3956,4805,109,133,171,187,11,5,357,354,600,595,1,77,Lauderdale County,H1
39,34293,16806,17487,13377,13702,1964,2266,874,896,28,36,3,3,560,584,259,257,1,79,Lawrence County,H1
