,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,STCODE,FIPSCODE,CTYNAME,FIPSCLASS
0,55347,26857,28490,20925,21840,5003,5601,121,146,276,388,32,23,500,492,816,757,1,1,Autauga County,H1
1,203709,99286,104423,86524,90838,9477,9954,740,765,852,1055,57,66,1636,1745,4873,4395,1,3,Baldwin County,H1
2,26489,14148,12341,7099,6176,6728,5910,90,63,57,61,29,20,145,111,680,492,1,5,Barbour County,H1
3,22583,12170,10413,8863,8316,3117,1900,45,51,19,33,26,5,100,108,328,216,1,7,Bibb County,H1
4,57673,28495,29178,27308,27926,596,488,174,203,65,99,40,24,312,438,2826,2338,1,9,Blount County,H1
5,10696,5857,4839,1797,1109,3898,3585,41,49,12,13,41,34,68,49,442,363,1,11,Bullock County,H1
6,20154,9371,10783,5157,5636,4003,4921,34,37,97,103,6,4,74,82,127,109,1,13,Butler County,H1
7,115620,55755,59865,42610,44760,11312,13174,332,279,437,587,60,49,1004,1016,2263,1916,1,15,Calhoun County,H1
8,34123,16340,17783,9574,10174,6328,7236,45,47,193,131,15,5,185,190,410,281,1,17,Chambers County,H1
9,25859,12839,13020,11897,12060,614,609,86,67,25,47,4,3,213,234,201,197,1,19,Cherokee County,H1
10,43943,21596,22347,18814,19442,2247,2378,118,98,80,113,53,27,284,289,1920,1465,1,21,Chilton County,H1
11,13170,6252,6918,3669,3825,2526,3034,13,11,9,13,1,1,34,34,50,50,1,23,Choctaw County,H1
12,24675,11665,13010,6461,6884,5020,5894,44,60,53,57,4,0,83,115,171,177,1,25,Clarke County,H1
13,13555,6688,6867,5534,5664,969,1006,35,46,17,20,0,0,133,131,261,198,1,27,Clay County,H1
14,15018,7424,7594,7018,7162,261,285,33,33,8,22,10,3,94,89,223,154,1,29,Cleburne County,H1
15,51211,25418,25793,19460,19489,4499,4694,375,345,287,556,138,78,659,631,1863,1565,1,31,Coffee County,H1
16,54354,26174,28180,21208,22583,4159,4787,181,156,123,153,12,16,491,485,794,619,1,33,Colbert County,H1
17,12672,6091,6581,3238,3294,2733,3179,27,24,9,16,3,2,81,66,124,92,1,35,Conecuh County,H1
18,10724,5386,5338,3640,3567,1633,1646,42,25,6,15,7,10,58,75,132,109,1,37,Coosa County,H1
19,37835,18239,19596,15391,16413,2335,2652,134,125,81,108,2,2,296,296,305,304,1,39,Covington County,H1
20,13963,6811,7152,4919,5091,1596,1782,36,40,119,128,4,5,137,106,137,118,1,41,Crenshaw County,H1
