,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,STCODE,FIPSCODE,CTYNAME,FIPSCLASS
0,50756,24685,26071,19795,20481,4363,4956,111,121,121,206,6,9,289,298,583,549,1,1,Autauga County,H1
1,179878,88069,91809,77441,80512,8708,9269,461,439,509,654,20,27,930,908,3050,2900,1,3,Baldwin County,H1
2,29737,15816,13921,8332,7038,7183,6677,101,54,46,47,3,6,151,99,993,500,1,5,Barbour County,H1
3,21587,11224,10363,8365,8190,2743,2067,32,29,6,11,2,0,76,66,208,116,1,7,Bibb County,H1
4,58345,29059,29286,27991,28154,597,636,184,133,50,79,4,8,233,276,2586,2047,1,9,Blount County,H1
5,10985,6095,4890,2066,1272,3940,3548,38,7,14,15,1,1,36,47,714,320,1,11,Bullock County,H1
6,19964,9407,10557,5456,5892,3839,4527,22,24,39,55,0,0,51,59,103,100,1,13,Butler County,H1
7,114081,54634,59447,42952,45591,10441,12335,248,223,320,595,42,44,631,659,1536,1471,1,15,Calhoun County,H1
8,34320,16261,18059,10149,10801,5919,7039,33,25,41,41,0,0,119,153,236,275,1,17,Chambers County,H1
9,24448,11872,12576,11025,11655,658,711,38,37,33,59,0,0,118,114,157,159,1,19,Cherokee County,H1
10,42971,21354,21617,18730,18776,2339,2544,64,57,58,70,4,3,159,167,1424,877,1,21,Chilton County,H1
11,13990,6558,7432,3796,3972,2693,3404,16,10,12,4,0,0,41,42,66,66,1,23,Choctaw County,H1
12,26042,12416,13626,6995,7386,5265,6092,35,34,48,23,0,1,73,90,120,129,1,25,Clarke County,H1
13,13640,6739,6901,5582,5684,1059,1102,24,21,5,9,2,1,67,84,247,152,1,27,Clay County,H1
14,14759,7438,7321,7040,6864,312,345,23,26,6,16,0,1,57,69,252,105,1,29,Cleburne County,H1
15,48635,23645,24990,18626,19321,4144,4556,216,222,192,411,33,23,434,457,1192,1122,1,31,Coffee County,H1
16,54639,26234,28405,21611,22963,4120,4931,117,109,96,94,9,10,281,298,515,404,1,33,Colbert County,H1
17,12931,6108,6823,3506,3626,2523,3112,15,20,6,11,4,3,54,51,72,91,1,35,Conecuh County,H1
18,10556,5254,5302,3650,3548,1532,1682,18,22,0,6,0,1,54,43,123,50,1,37,Coosa County,H1
19,36678,17562,19116,15052,16145,2197,2620,97,107,53,83,4,1,159,160,208,217,1,39,Covington County,H1
20,13781,6571,7210,4903,5195,1563,1908,34,29,11,11,1,0,59,67,94,80,1,41,Crenshaw County,H1
21,81778,40560,41218,39156,39887,722,631,208,166,70,117,12,19,392,398,2119,1464,1,43,Cullman County,H1
22,48147,23442,24705,17956,18257,4597,5326,159,136,171,451,46,42,513,493,1021,1107,1,45,Dale County,H1
23,41925,19145,22780,6235,6773,12672,15745,34,30,82,96,3,2,119,134,178,184,1,47,Dallas County,H1
24,69380,34188,35192,32703,33482,618,781,309,273,92,156,26,22,440,478,4406,3704,1,49,DeKalb County,H1
25,79233,39971,39262,29921,30385,9219,8038,161,160,173,229,23,8,474,442,792,801,1,51,Elmore County,H1
26,37434,19058,18376,11829,11779,6356,5643,563,605,69,62,5,5,236,282,260,299,1,53,Escambia County,H1
27,103645,49797,53848,41857,44446,6933,8395,176,189,287,255,29,18,515,545,1918,1504,1,55,Etowah County,H1
28,17371,8448,8923,7365,7631,994,1159,23,18,9,52,0,2,57,61,120,97,1,57,Fayette County,H1
