,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE
38,Autauga County,43872,21318,22554,17502,18047,3487,4071,94,104,60,144,4,9,171,179,332,278
266,Baldwin County,141358,69323,72035,60925,63176,7167,7511,419,404,209,338,16,22,587,584,1358,1128
494,Barbour County,29035,14969,14066,7921,7230,6809,6673,88,43,42,45,4,5,105,70,329,149
722,Bibb County,19936,9834,10102,7785,7975,1968,2046,24,26,6,11,2,0,49,44,120,86
950,Blount County,51181,25559,25622,24919,24900,295,319,149,120,27,55,4,8,165,220,1621,1116
1178,Bullock County,11604,6078,5526,1722,1255,4283,4208,37,7,8,13,1,1,27,42,219,103
1406,Butler County,21313,9981,11332,5946,6489,3963,4760,21,24,19,19,0,0,32,40,74,69
1634,Calhoun County,111342,53259,58083,42781,45701,9507,11263,239,212,249,407,39,40,444,460,967,784
1862,Chambers County,36593,17293,19300,10757,11561,6395,7577,30,23,32,38,0,0,79,101,142,138
2090,Cherokee County,24053,11826,12227,11044,11390,640,693,38,37,15,21,0,0,89,86,107,97
2318,Chilton County,39781,19678,20103,17446,17679,2028,2210,58,53,35,48,4,2,107,111,740,417
2546,Choctaw County,15850,7455,8395,4207,4524,3201,3825,15,10,3,4,0,0,29,32,47,60
2774,Clarke County,27833,13165,14668,7521,8062,5537,6487,34,28,24,22,0,1,49,68,76,104
3002,Clay County,14264,6958,7306,5821,6040,1066,1175,24,21,5,9,2,1,40,60,160,93
3230,Cleburne County,14156,7056,7100,6733,6740,253,272,22,21,6,16,0,1,42,50,123,75
3458,Coffee County,43540,21272,22268,16729,17244,3878,4203,206,197,131,295,29,19,299,310,644,539
3686,Colbert County,55024,26329,28695,21773,23272,4174,5023,106,99,63,72,5,8,208,221,326,292
3914,Conecuh County,14040,6646,7394,3816,3960,2768,3361,13,19,6,10,4,3,39,41,51,51
4142,Coosa County,11843,5892,5951,3941,3840,1895,2048,18,21,0,6,0,1,38,35,114,39
4370,Covington County,37490,17923,19567,15601,16785,2108,2536,87,99,27,38,4,1,96,108,143,149
4598,Crenshaw County,13696,6477,7219,4877,5257,1525,1881,30,26,6,9,1,0,38,46,47,40
4826,Cullman County,77580,38270,39310,37319,38388,405,344,186,150,47,97,9,18,304,313,1048,647
5054,Dale County,49068,24330,24738,18769,18401,4739,5372,164,137,175,380,44,38,439,410,842,802
5282,Dallas County,46181,21013,25168,7878,8622,12936,16329,31,26,81,81,3,2,84,108,145,146
5510,DeKalb County,64638,31607,33031,30388,31664,493,605,293,260,53,77,22,17,358,408,2106,1501
5738,Elmore County,66230,33518,32712,25544,25789,7405,6327,145,148,98,145,15,8,311,295,428,377
5966,Escambia County,38402,19455,18947,12386,12499,6283,5589,572,591,47,51,5,5,162,212,198,181
6194,Etowah County,103313,49435,53878,41688,44710,6936,8353,165,186,238,204,30,19,378,406,1032,734
6422,Fayette County,18456,8916,9540,7839,8260,1016,1198,21,18,6,23,0,2,34,39,77,75
6650,Franklin County,31208,15322,15886,14500,14976,634,710,52,51,17,25,28,21,91,103,1461,864
6878,Geneva County,25790,12544,13246,11070,11566,1277,1482,102,95,10,23,4,2,81,78,277,176
7106,Greene County,9946,4669,5277,957,954,3689,4303,7,5,4,6,0,0,12,9,27,31
7334,Hale County,18288,9203,9085,3740,3503,5405,5501,16,14,11,16,1,3,30,48,80,80
7562,Henry County,16344,7772,8572,5306,5583,2399,2906,18,16,3,7,3,1,43,59,131,118
7790,Houston County,88919,42236,46683,31401,33931,10081,11932,169,167,270,289,8,7,307,357,593,530
8018,Jackson County,54029,26338,27691,24328,25568,986,1045,471,481,59,69,9,4,485,524,328,283
8246,Jefferson County,662214,312220,349994,186946,201395,119277,142454,770,780,3095,3116,112,91,2020,2158,6263,4265
8474,Lamar County,15905,7683,8222,6766,7127,873,1037,10,13,3,8,0,0,31,37,121,86
8702,Lauderdale County,87982,42088,45894,37607,40536,3942,4764,99,127,150,167,11,6,279,294,492,402
8930,Lawrence County,34856,17103,17753,13478,13749,2180,2496,917,942,14,24,2,1,512,541,190,181
9158,Lee County,115511,56846,58665,43145,42906,12132,14168,178,138,951,978,16,9,424,466,907,775
9386,Limestone County,65930,33460,32470,28044,27979,4878,3948,164,159,102,132,14,6,258,246,1057,692
9614,Lowndes County,13487,6310,7177,1743,1747,4532,5378,8,7,3,13,0,3,24,29,51,34
9842,Macon County,24075,11062,13013,1742,1629,9169,11242,20,19,66,32,2,2,63,89,78,94
10070,Madison County,277868,135622,142246,99774,102151,30068,33815,1086,1084,2414,2875,90,75,2190,2246,2825,2463
10298,Marengo County,22566,10583,11983,5271,5454,5245,6437,11,8,17,24,1,2,38,58,111,108
10526,Marion County,31149,15417,15732,14547,15113,681,455,55,41,32,30,7,4,95,89,196,164
10754,Marshall County,82333,40072,42261,38784,40917,608,614,237,217,92,131,26,23,325,359,2767,1922
10982,Mobile County,400061,191164,208897,123823,130118,61382,72833,1349,1354,2995,2746,52,55,1563,1791,2587,2386
11210,Monroe County,24281,11556,12725,6817,7227,4518,5240,117,126,31,42,0,3,73,87,91,99
11438,Montgomery County,223413,106323,117090,53531,56308,50561,58378,337,254,1007,1248,25,47,862,855,1475,1194
11666,Morgan County,111194,54527,56667,47311,48792,5982,6608,428,374,238,292,53,22,515,579,2143,1521
11894,Perry County,11808,5387,6421,1739,1923,3606,4464,4,6,4,0,2,1,32,27,50,52
12122,Pickens County,20904,9789,11115,5687,6033,4021,4987,13,13,9,14,1,4,58,64,72,75
12350,Pike County,29734,14059,15675,8749,9350,4948,5986,101,94,92,57,2,3,167,185,188,182
12578,Randolph County,22414,10830,11584,8340,8858,2385,2620,22,23,25,26,0,1,58,56,144,128
12806,Russell County,49692,23672,26020,13915,14520,9381,11028,78,105,74,124,24,16,200,227,395,349
13034,St. Clair County,65079,32819,32260,29446,29455,2943,2362,116,128,40,74,13,5,261,236,389,297
13262,Shelby County,144523,70875,73648,64454,66451,5044,5727,220,264,734,783,13,14,410,409,1762,1192
13490,Sumter County,14748,6771,7977,1882,1983,4852,5931,4,13,5,10,0,2,28,38,85,84
13718,Talladega County,80338,39299,41039,26480,27558,12402,13048,99,87,75,90,9,12,234,244,546,266
13946,Tallapoosa County,41743,19996,21747,14839,15733,4988,5797,48,62,29,51,0,3,92,101,140,106
14174,Tuscaloosa County,165191,79490,85701,56029,57365,21881,26713,175,203,850,795,34,18,521,607,1213,948
14402,Walker County,70680,34097,36583,31641,33886,2071,2318,117,85,67,82,6,8,195,204,329,278
14630,Washington County,18112,8878,9234,5853,5918,2335,2548,615,675,4,9,2,3,69,81,84,77
14858,Wilcox County,12980,5964,7016,1725,1868,4212,5115,9,9,7,10,2,0,9,14,35,61
15086,Winston County,24882,12191,12691,11981,12470,57,51,60,58,10,23,2,2,81,87,236,136
38,Aleutians East Borough,2686,1737,949,608,251,42,7,536,453,505,213,6,2,40,23,272,67
266,Aleutians West Census Area,5435,3493,1942,1729,848,138,36,632,518,871,482,27,7,96,51,423,150
494,Anchorage Municipality,260586,131871,128715,100175,94186,8240,7817,8835,10488,6744,8265,1259,1266,6618,6693,7533,7441
722,Bethel Census Area,16103,8558,7545,1183,875,49,14,6890,6328,91,81,7,2,338,245,85,60
