,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,STCODE,FIPSCODE,CTYNAME,FIPSCLASS
0,45762,22222,23540,18145,18740,3687,4304,98,108,85,163,5,9,202,216,403,359,1,1,Autauga County,H1
1,151707,74417,77290,65486,67872,7625,8012,422,404,195,310,16,22,673,670,1699,1499,1,3,Baldwin County,H1
2,29480,15504,13976,8152,7103,7095,6693,92,48,43,47,4,6,118,79,503,246,1,5,Barbour County,H1
3,21037,10866,10171,8068,8000,2698,2083,31,28,6,11,2,0,61,49,156,96,1,7,Bibb County,H1
4,53726,26838,26888,26021,25995,431,468,161,120,36,63,4,8,185,234,1921,1384,1,9,Blount County,H1
5,11305,6070,5235,1862,1263,4130,3905,38,7,9,15,1,1,30,44,369,165,1,11,Bullock County,H1
6,20536,9665,10871,5740,6218,3843,4557,21,24,24,28,0,0,37,44,90,82,1,13,Butler County,H1
7,111378,53336,58042,42558,45270,9732,11537,239,214,258,449,40,41,509,531,1108,985,1,15,Calhoun County,H1
8,35626,16886,18740,10459,11163,6268,7401,32,23,35,38,0,0,92,115,177,182,1,17,Chambers County,H1
9,24159,11847,12312,11044,11460,639,688,38,37,22,33,0,0,104,94,125,123,1,19,Cherokee County,H1
10,40776,20207,20569,17813,17974,2168,2357,59,53,41,56,4,2,122,127,916,519,1,21,Chilton County,H1
11,15168,7133,8035,4069,4338,3011,3648,14,10,6,4,0,0,33,35,51,61,1,23,Choctaw County,H1
12,27076,12838,14238,7328,7823,5385,6288,34,29,33,22,0,1,58,75,89,113,1,25,Clarke County,H1
13,14066,6901,7165,5757,5907,1067,1161,24,21,5,9,2,1,46,66,180,105,1,27,Clay County,H1
14,14378,7206,7172,6842,6754,290,321,22,24,6,16,0,1,46,56,165,88,1,29,Cleburne County,H1
15,44186,21484,22702,16899,17573,3877,4240,205,203,144,322,32,19,327,345,756,673,1,31,Coffee County,H1
16,54319,26048,28271,21510,22923,4108,4910,112,103,78,80,9,10,231,245,376,311,1,33,Colbert County,H1
17,13436,6346,7090,3643,3796,2635,3215,13,20,6,11,4,3,45,45,52,60,1,35,Conecuh County,H1
18,11423,5703,5720,3871,3743,1771,1911,18,21,0,6,0,1,43,38,117,40,1,37,Coosa County,H1
19,36495,17475,19020,15135,16217,2094,2528,88,102,37,51,4,1,117,121,154,169,1,39,Covington County,H1
20,13562,6442,7120,4854,5169,1504,1861,32,27,6,9,1,0,45,54,58,46,1,41,Crenshaw County,H1
21,78110,38616,39494,37519,38450,510,434,194,153,51,100,11,18,331,339,1346,856,1,43,Cullman County,H1
22,49052,24041,25011,18491,18577,4699,5416,169,135,180,410,40,37,462,436,869,917,1,45,Dale County,H1
23,44504,20275,24229,7294,7990,12769,16012,31,27,87,87,3,2,91,111,169,171,1,47,Dallas County,H1
24,66009,32412,33597,31128,32158,516,632,296,260,66,102,22,17,384,428,2912,2257,1,49,DeKalb County,H1
25,70151,35569,34582,26770,27016,8159,6898,149,151,113,168,17,8,361,341,492,460,1,51,Elmore County,H1
26,38028,19364,18664,12164,12197,6389,5578,564,592,54,55,5,5,188,237,196,211,1,53,Escambia County,H1
27,102698,49259,53439,41592,44348,6813,8227,161,181,251,217,29,18,413,448,1289,972,1,55,Etowah County,H1
28,18145,8790,9355,7706,8061,1018,1197,21,18,6,32,0,2,39,45,88,82,1,57,Fayette County,H1
29,30684,15144,15540,14311,14635,623,671,55,57,26,36,27,26,102,115,1832,1092,1,59,Franklin County,H1
30,25481,12416,13065,10928,11365,1277,1490,103,95,10,24,5,2,93,89,294,199,1,61,Geneva County,H1
31,9697,4542,5155,973,969,3541,4160,7,5,6,7,0,0,15,14,28,31,1,63,Greene County,H1
32,18013,9102,8911,3749,3474,5288,5351,18,14,11,17,1,3,35,52,94,85,1,65,Hale County,H1
33,16370,7801,8569,5386,5628,2343,2855,19,16,3,7,3,1,47,62,165,151,1,67,Henry County,H1
34,91147,43347,47800,32016,34452,10512,12403,169,172,272,349,8,7,370,417,753,701,1,69,Houston County,H1
35,53483,26076,27407,24037,25246,992,1044,466,483,61,74,7,4,513,556,420,351,1,71,Jackson County,H1
36,660486,312421,348065,184771,197545,120764,143533,872,852,3519,3554,151,142,2344,2439,8280,5968,1,73,Jefferson County,H1
37,15065,7301,7764,6467,6761,786,942,10,13,2,7,0,0,36,41,140,92,1,75,Lamar County,H1
38,86944,41523,45421,37040,40050,3885,4732,104,128,163,178,11,5,320,328,536,501,1,77,Lauderdale County,H1
39,34393,16884,17509,13431,13703,2002,2302,887,901,22,32,2,4,540,567,228,219,1,79,Lawrence County,H1
40,119631,59030,60601,44486,44002,12803,14859,187,153,1062,1056,15,10,477,521,1009,907,1,81,Lee County,H1
41,67685,34422,33263,28807,28642,5025,4025,170,165,122,140,14,6,284,285,1260,893,1,83,Limestone County,H1
42,13316,6250,7066,1823,1806,4385,5201,9,7,3,13,0,3,30,36,57,38,1,85,Lowndes County,H1
43,23470,10809,12661,1845,1745,8780,10750,20,20,95,46,2,2,67,98,94,110,1,87,Macon County,H1
44,290763,142022,148741,103633,105864,32040,35986,1084,1072,2790,3280,87,78,2388,2461,3370,2945,1,89,Madison County,H1
45,21930,10348,11582,5178,5282,5092,6204,11,8,17,23,1,2,49,63,183,149,1,91,Marengo County,H1
46,29972,14852,15120,13961,14481,693,459,56,44,31,33,7,4,104,99,223,200,1,93,Marion County,H1
47,83592,40822,42770,39331,41212,724,732,233,218,114,185,50,24,370,399,3751,2721,1,95,Marshall County,H1
48,397707,190148,207559,121967,128108,61632,73106,1342,1329,3362,2961,58,80,1787,1975,2807,2765,1,97,Mobile County,H1
49,23532,11230,12302,6576,6963,4423,5072,116,126,32,43,0,3,83,95,91,102,1,99,Monroe County,H1
50,222486,105969,116517,51532,54157,52010,59761,343,262,1092,1336,30,55,962,946,1669,1450,1,101,Montgomery County,H1
51,112287,55214,57073,47603,48843,6244,6866,431,368,319,340,48,22,569,634,2731,2047,1,103,Morgan County,H1
52,11241,5130,6111,1671,1808,3413,4266,4,6,4,0,2,1,36,30,53,55,1,105,Perry County,H1
53,20316,9531,10785,5578,5885,3864,4800,13,13,9,14,1,4,66,69,86,79,1,107,Pickens County,H1
54,29413,13973,15440,8655,9138,4909,5931,110,97,112,72,2,3,185,199,212,200,1,109,Pike County,H1
55,22268,10773,11495,8318,8807,2334,2566,22,24,32,32,0,1,67,65,156,150,1,111,Randolph County,H1
56,48684,23102,25582,13377,14055,9289,11002,81,105,100,152,23,15,232,253,513,475,1,113,Russell County,H1
57,68292,34551,33741,30803,30706,3268,2545,118,130,55,81,14,5,293,274,448,338,1,115,St. Clair County,H1
